"student";"snapshot";"datetime"
"958c9425eca66a75a15a62f0ba018c486934007c";"2020-11-17T22:50:29.588Z";2020-11-17 22:50:29
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T00:28:39.113Z";2020-11-21 00:28:39
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T00:28:40.234Z";2020-11-21 00:28:40
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T00:30:24.236Z";2020-11-21 00:30:24
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T00:30:31.363Z";2020-11-21 00:30:31
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T00:56:19.404Z";2020-11-21 00:56:19
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T00:56:45.545Z";2020-11-21 00:56:45
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T00:56:55.333Z";2020-11-21 00:56:55
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T02:12:35.611Z";2020-11-21 02:12:35
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T02:18:56.979Z";2020-11-21 02:18:56
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T03:10:35.463Z";2020-11-21 03:10:35
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T03:41:06.042Z";2020-11-21 03:41:06
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T04:27:16.851Z";2020-11-21 04:27:16
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T05:35:56.138Z";2020-11-21 05:35:56
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T05:39:48.166Z";2020-11-21 05:39:48
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T06:52:01.971Z";2020-11-21 06:52:01
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T22:50:25.751Z";2020-11-21 22:50:25
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T23:26:32.885Z";2020-11-21 23:26:32
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-21T23:45:48.751Z";2020-11-21 23:45:48
"9626bfcdcbfdda64ce3a31191ceb88c9f8b52978";"2020-11-22T00:50:37.078Z";2020-11-22 00:50:37
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-21T23:39:40.228Z";2020-11-21 23:39:40
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-21T23:39:41.576Z";2020-11-21 23:39:41
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-21T23:39:42.250Z";2020-11-21 23:39:42
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-21T23:42:22.943Z";2020-11-21 23:42:22
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-21T23:43:07.305Z";2020-11-21 23:43:07
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-21T23:54:00.739Z";2020-11-21 23:54:00
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-22T00:19:29.668Z";2020-11-22 00:19:29
"96445cce79699a39851a184246b06b24c63497ff";"2020-11-22T02:42:25.904Z";2020-11-22 02:42:25
