HASH_ID,HW00 Grade,HW01 Grade,HW02 Grade,HW03 Grade,HW04 Grade,HW05 Grade,HW06 Grade,HW07 Grade,HW08 Grade,HW09 Grade,HW Avg,Extensions,HW00 Late Days,HW01 Late Days,HW02 Late Days,HW03 Late Days,HW04 Late Days,HW05 Late Days,HW06 Late Days,HW07 Late Days,HW08 Late Days
8f44159e06781fa522902f2d7f8f3174706f414e,100,98,91,81.5,83.6,100,72,65,81.1406,,85.80451111,0,0,0,0,0,0,0,2,0,0
6605b28f4160ac2ecd5ed4dec5a815d066f309b3,100,88,96,97,98,89,94,100,100,,95.77777778,0,0,0,0,0,0,2,2,0,1
6ca0204ff8eea819742c218f58750954f2f2268a,100,91,96,99,100,97,100,90,70,,93.66666667,0,0,0,0,0,0,0,0,0,0
1daf3808a0069a2ee28993bb7b4358f05d35d5d4,100,90,89,100,98,92,33,96,70,,85.33333333,0,0,0,0,0,0,0,3,0,0
06467b2648c30d4d11aa67b8728256be67992c34,100,0,0,0,0,0,0,0,0,,11.11111111,0,0,0,0,0,0,0,0,0,0
6663a4284c794ea4550e61af7191209e73045a86,100,98,100,100,100,100,98,95,100,,99,0,0,0,0,0,0,0,0,0,0
16f05fc1b167b79d431c60e7690dbf8f42a6490b,100,79,92,65,98,92,0,42.5,89.85,,73.15,0,0,1,0,0,0,0,0,1,0
50a9d11d5eaae9d4ded85ab934739b0729868a9b,100,90,94,85.5,98,92,75,64.5,41.2344,,82.24826667,2,0,0,0,2,0,0,2,1,2
7b882877d83362844ed860059e5e2274b5e1aa6a,90,90,97,96,100,100,100,100,70,,93.66666667,0,0,0,0,0,0,0,2,0,0
63f4115bbb9423cfd4cbababe99e05ccf5cce205,100,95,68,59,0,0,0,0,0,,35.77777778,0,0,0,0,0,0,0,0,0,0
b39d544b1afbe0322c1ceb413137cd994e42fd7c,100,96,91,102,102,100,100,97,70,,95.33333333,0,0,0,0,0,0,0,1,0,2
f4a70b94c0f0672dc6493d156518ae25c3976a06,100,102,100,100,100,100,100,60,70,,92.44444444,0,0,0,0,0,0,0,1,0,0
774cf3671ebe5091f067b093a88ad67c0d9c1f93,100,91,65.5,74.5,91,96,59,43,23.4062,,71.48957778,5,0,0,4,2,1,2,1,0,0
0b2b215d3895dc070ff308ca5d5733bb0abda40f,100,84,93,97,95,100,99,92,70,,92.22222222,0,0,0,0,0,0,0,1,0,0
406d5a7eb8631d2290294c40711318b956ed54fd,100,0,78,85.5,96,98,77,16,90.0812,,71.17568889,8,0,0,0,0,0,0,2,2,2
025e11c5a647be6af45e5040241901ecd65080f3,100,100,92,98,100,100,100,98,100,,98.66666667,0,0,0,0,0,0,0,0,2,0
b736d508e99ced70c414fb27044a0f8eef9cf0fc,100,88,91,79.5,98,90,93,100,70,,89.94444444,0,0,0,0,0,0,0,0,0,0
f9fbdcf24195ad559c966a8f75610043b7cdf377,100,83,95,96,98,100,95,100,66.2812,,92.5868,0,0,0,0,2,0,0,1,1,0
5f696a4f439ae9f07efbb9de1a05465fb9a33565,100,89,89.5,100,98,99,98,100,70,,93.72222222,0,0,0,1,0,0,0,0,0,0
